순위,기간,영화코드,영화명(국문),기간순위,기간시작,기간종료,개봉일,감독명(국문),감독명(영문)
1,20191111~20191117,20195002,블랙머니,20191111~201911171,20191111,20191117,2019-11-13,정지영,CHUNG Ji-young
2,20191111~20191117,20181434,신의 한 수: 귀수편,20191111~201911172,20191111,20191117,2019-11-07,리건,LEE Khan
3,20191111~20191117,20191029,82년생 김지영,20191111~201911173,20191111,20191117,2019-10-23,김도영,KIM Do-young
4,20191111~20191117,20192083,터미네이터: 다크 페이트,20191111~201911174,20191111,20191117,2019-10-30,팀 밀러,Tim Miller
1,20191104~20191110,20181434,신의 한 수: 귀수편,20191104~201911101,20191104,20191110,2019-11-07,리건,LEE Khan
2,20191104~20191110,20192083,터미네이터: 다크 페이트,20191104~201911102,20191104,20191110,2019-10-30,팀 밀러,Tim Miller
3,20191104~20191110,20191029,82년생 김지영,20191104~201911103,20191104,20191110,2019-10-23,김도영,KIM Do-young
4,20191104~20191110,20197279,아담스 패밀리,20191104~201911104,20191104,20191110,2019-11-07,그렉 티어넌,Greg Tiernan
1,20191028~20191103,20191029,82년생 김지영,20191028~201911031,20191028,20191103,2019-10-23,김도영,KIM Do-young
2,20191028~20191103,20192083,터미네이터: 다크 페이트,20191028~201911032,20191028,20191103,2019-10-30,팀 밀러,Tim Miller
3,20191028~20191103,20190280,날씨의 아이,20191028~201911033,20191028,20191103,2019-10-30,신카이 마코토,Makoto Shinkai
4,20191028~20191103,20191589,말레피센트 2,20191028~201911034,20191028,20191103,2019-10-17,요아킴 뢰닝,Joachim Ronning
1,20191021~20191027,20191029,82년생 김지영,20191021~201910271,20191021,20191027,2019-10-23,김도영,KIM Do-young
2,20191021~20191027,20191589,말레피센트 2,20191021~201910272,20191021,20191027,2019-10-17,요아킴 뢰닝,Joachim Ronning
3,20191021~20191027,20199950,조커,20191021~201910273,20191021,20191027,2019-10-02,토드 필립스,Todd Phillips
4,20191021~20191027,20195920,가장 보통의 연애,20191021~201910274,20191021,20191027,2019-10-02,김한결,KIM Han-gyeol
